,song_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
155,Layla - Live At Hammersmith Odeon,Eric Clapton,0.333,0.871,5,-7.592,1,0.0425,0.00536,0.304,0.827,0.744,126.142,361840,4
156,Road Games (Jack Bruce) - Remastered,Allan Holdsworth,0.448,0.694,5,-7.774,1,0.0434,0.288,0.0112,0.192,0.444,89.775,254010,4
157,We Will Rock You - Remastered 2011,Queen,0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067,4
158,I Was Made For Lovin' You,KISS,0.768,0.852,4,-6.215,1,0.038,0.213,7.45e-05,0.0723,0.867,128.374,271240,4
159,Ain't Nobody,Chaka Khan,0.8,0.878,1,-7.109,1,0.0434,0.189,0.000104,0.14,0.816,104.282,280853,4
160,Do I Do,Stevie Wonder,0.719,0.822,11,-11.295,1,0.0499,0.139,4.44e-06,0.118,0.924,112.806,303467,4
161,P.Y.T. (Pretty Young Thing),Michael Jackson,0.888,0.815,11,-4.909,0,0.0404,0.23,0.000424,0.127,0.961,127.273,238733,4
162,Workin' Day and Night,Michael Jackson,0.907,0.875,7,-11.001,1,0.0635,0.0461,0.00349,0.13,0.865,129.797,313693,4
163,Billie Jean,Michael Jackson,0.92,0.654,11,-3.051,0,0.0401,0.0236,0.0158,0.0359,0.847,117.046,293827,4
164,Smooth Criminal - 2012 Remaster,Michael Jackson,0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,257760,4
165,Beat It,Michael Jackson,0.779,0.867,3,-3.704,0,0.0457,0.0491,7.98e-06,0.197,0.915,138.858,258040,4
166,Le Freak,CHIC,0.867,0.746,7,-7.445,1,0.0475,0.0453,0,0.123,0.933,118.616,327573,4
167,Blame It on the Boogie,The Jacksons,0.774,0.747,8,-7.302,1,0.0928,0.0671,0,0.112,0.881,113.298,210373,4
168,I Want You Back,The Jackson 5,0.639,0.548,8,-13.534,1,0.0394,0.29,9.68e-05,0.366,0.887,98.359,176333,4
169,1999 - Edit,Prince,0.882,0.562,5,-10.971,1,0.0515,0.265,1.68e-05,0.745,0.715,119.165,218867,4
170,Boogie Wonderland,"Earth, Wind & Fire",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293,4
171,Stomp! - Single Version,The Brothers Johnson,0.859,0.782,10,-8.344,1,0.0369,0.154,0.0297,0.0693,0.931,119.518,247133,4
172,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Bee Gees,0.706,0.563,10,-15.564,0,0.0342,0.0704,0.00151,0.152,0.955,103.613,281667,4
173,We Are Family,Sister Sledge,0.784,0.893,7,-5.153,0,0.0923,0.3,1.57e-05,0.272,0.819,118.738,216733,4
174,Sir Duke,Stevie Wonder,0.588,0.568,6,-9.766,1,0.0672,0.16,0,0.0792,0.952,106.938,232760,4
175,Superstition - Single Version,Stevie Wonder,0.633,0.634,8,-12.115,1,0.0725,0.038,0.0064,0.0385,0.872,100.499,245493,4
176,That's the Way (I Like It),KC & The Sunshine Band,0.661,0.928,5,-6.898,0,0.0441,0.125,0.00277,0.345,0.851,108.587,306147,4
177,Brick House,Commodores,0.831,0.782,4,-10.48,0,0.0595,0.0731,0.0171,0.032,0.631,107.877,208893,4
178,Baba O'Riley,The Who,0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,300400,4
179,My Generation - Stereo Version,The Who,0.412,0.782,2,-9.186,0,0.058,0.308,0.00822,0.0775,0.705,96.732,198707,4
180,Who Are You,The Who,0.651,0.648,9,-11.409,1,0.0501,0.262,0.0042,0.0655,0.49,156.372,381627,4
181,Fast Car,Tracy Chapman,0.711,0.292,4,-15.523,0,0.037,0.313,0,0.131,0.194,103.951,296800,4
182,After the Love Has Gone,"Earth, Wind & Fire",0.424,0.443,6,-13.45,1,0.0382,0.532,0.000389,0.673,0.391,131.675,278040,4
183,After The Storm,Norman Brown,0.572,0.585,9,-10.166,1,0.0357,0.582,0.579,0.303,0.763,77.895,285600,4
184,"Tears in Heaven - Acoustic; Live at MTV Unplugged, Bray Film Studios, Windsor, England, UK, 1/16/1992; 2013 Remaster",Eric Clapton,0.695,0.336,9,-12.999,1,0.0313,0.8,0.00264,0.701,0.422,79.109,280000,4
185,Wonderful Tonight,Eric Clapton,0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,225027,4
186,Just Take My Heart - 2010 Remastered Version,Mr. Big,0.508,0.362,0,-9.369,1,0.0349,0.483,0,0.0996,0.207,168.586,265307,4
187,Purple Rain,Prince,0.367,0.452,10,-10.422,1,0.0307,0.0353,0.00228,0.689,0.189,113.066,520787,4
188,"I Don't Want to Miss a Thing - From ""Armageddon"" Soundtrack",Various Artists,0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,298760,4
189,Wild World - 2009 Remastered Version,Mr. Big,0.573,0.722,5,-6.518,1,0.0295,0.182,0,0.29,0.59,144.209,208560,4
190,To Be With You - 2010 Remastered Version,Mr. Big,0.688,0.375,4,-9.601,1,0.0535,0.286,0,0.133,0.45,83.635,210480,4
191,Amanda,Boston,0.449,0.424,7,-14.06,1,0.0323,0.32,1.69e-06,0.107,0.259,125.494,256200,4
192,Nothing Compares 2 U,Prince,0.519,0.563,11,-5.04,1,0.0364,0.0952,7.02e-05,0.0895,0.345,124.02,280743,4
